iPhone Sensor Log from Crossbow started at Nov 17, 2011 15:20:06 Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
3.57 -22.0 -0.3 -44.9 0.07 -0.19 -1.04 37.425976 -122.151702 7.7 -0.1705 0.2796 0.1274 0.045 0.177 -0.238
3.60 -21.4 -0.3 -45.3 0.08 -0.18 -1.01 37.425976 -122.151702 7.7 -0.0727 0.1876 0.0393 0.052 0.173 -0.237
3.63 -21.4 -0.3 -45.3 0.08 -0.17 -0.99 37.425976 -122.151702 7.7 0.1872 -0.0332 -0.0323 0.056 0.178 -0.239
3.66 -21.0 -0.4 -46.3 0.08 -0.18 -0.99 37.425976 -122.151702 7.7 -0.0075 0.0586 0.0299 0.057 0.180 -0.239
3.69 -21.0 -0.4 -46.3 0.06 -0.18 -1.01 37.425976 -122.151702 7.7 -0.0996 -0.0412 0.0791 0.057 0.178 -0.238
3.72 -20.2 -0.2 -46.7 0.05 -0.17 -1.00 37.425976 -122.151702 6.1 0.0541 -0.0450 -0.0016 0.054 0.177 -0.237
3.75 -20.2 -0.2 -46.7 0.06 -0.18 -1.01 37.425976 -122.151702 6.1 -0.0382 -0.0216 -0.0114 0.054 0.177 -0.238
3.79 -20.1 -0.8 -45.7 0.06 -0.19 -1.00 37.425976 -122.151702 6.1 -0.0485 0.0542 0.0996 0.054 0.176 -0.236
3.82 -20.1 -0.8 -45.7 0.06 -0.17 -1.00 37.425976 -122.151702 6.1 0.0725 0.0290 0.1333 0.055 0.177 -0.232
3.85 -20.7 -0.9 -45.3 0.06 -0.16 -1.05 37.425976 -122.151702 6.1 0.0235 0.1530 -0.0226 0.057 0.177 -0.231
3.88 -20.7 -0.9 -45.3 0.09 -0.20 -0.91 37.425976 -122.151702 6.1 0.1022 0.3271 0.2500 0.063 0.179 -0.228
