iPhone Sensor Log from Crossbow started at Dec 14, 2011 1:33:44 AM Pacific Standard Time.
ElapsedTime(s) xMag(uT) yMag(uT) zMag(uT) xAccel(g) yAccel(g) zAccel(g) latitude(deg) longitude(deg) altitude(m) xRate(rad/sec) yRate(rad/sec) zRate(rad/sec) roll(rad) pitch(rad) yaw(rad)
3.19 -26.7 13.5 19.0 -1.10 0.83 -0.34 37.428006 -122.174270 34.0 0.1623 -0.3611 2.3684 -1.495 -0.394 1.430
3.22 -25.5 16.7 19.5 -0.96 0.97 -0.40 37.428006 -122.174270 34.0 1.0174 -0.3171 2.2013 -1.489 -0.475 1.465
3.25 -25.5 16.7 19.5 -1.13 1.06 -0.36 37.428006 -122.174270 34.0 1.5068 -0.5593 2.6008 -1.479 -0.538 1.514
3.28 -23.1 20.4 19.7 -1.26 1.12 -0.35 37.428006 -122.174270 34.0 1.8992 -0.2307 2.6198 -1.455 -0.607 1.581
3.31 -23.1 20.4 19.7 -1.09 1.10 -0.51 37.428006 -122.174270 34.0 2.0990 0.2921 2.3768 -1.404 -0.668 1.662
3.35 -20.0 26.8 16.5 -1.02 1.22 -0.52 37.428006 -122.174270 34.0 2.8430 0.4227 2.5883 -1.266 -0.748 1.848
3.38 -20.0 26.8 16.5 -1.18 1.31 -0.64 37.428006 -122.174270 34.0 3.0023 0.6077 2.6691 -1.154 -0.790 1.990
3.41 -17.5 31.9 12.0 -1.14 1.29 -0.75 37.428006 -122.174270 34.0 3.3147 0.5046 2.3256 -1.023 -0.809 2.149
3.44 -17.5 31.9 12.0 -1.40 1.41 -0.88 37.428006 -122.174270 34.0 3.6640 0.3577 2.2358 -0.892 -0.805 2.317
3.47 -12.9 37.6 2.2 -0.98 1.37 -0.53 37.428006 -122.174270 34.0 4.6579 1.4348 1.5777 -0.695 -0.738 2.543
3.50 -12.9 37.6 2.2 -1.01 1.20 -0.65 37.428006 -122.174270 34.0 4.2007 1.9643 1.9603 -0.551 -0.667 2.690
3.53 -9.2 38.2 -6.0 -0.97 0.99 -0.51 37.428006 -122.174270 34.0 4.0625 2.6248 2.1169 -0.410 -0.593 2.819
3.56 -9.2 38.2 -6.0 -0.76 0.69 -0.42 37.428006 -122.174270 34.0 3.5262 2.6424 1.8915 -0.279 -0.512 2.925
3.60 -2.3 34.9 -18.0 -0.52 0.54 -0.36 37.428006 -122.174270 34.0 2.6557 1.9324 0.7158 -0.159 -0.412 3.002
3.63 -2.3 34.9 -18.0 -0.51 0.45 -0.61 37.428006 -122.174270 34.0 1.9344 2.2549 -0.2775 -0.089 -0.335 3.019
3.66 1.2 32.4 -23.7 -0.29 0.34 -0.69 37.428006 -122.174270 34.0 2.3516 1.9765 -1.2451 -0.036 -0.276 2.998
3.69 1.2 32.4 -23.7 -0.07 0.18 -0.79 37.428006 -122.174270 34.0 3.4554 1.9132 -1.8469 0.004 -0.192 2.951
3.72 3.2 26.8 -29.2 -0.15 0.11 -0.55 37.428006 -122.174270 34.0 3.6892 0.2718 -0.9302 0.030 -0.088 2.910
3.75 3.2 26.8 -29.2 -0.09 -0.02 -0.76 37.428006 -122.174270 34.0 2.7272 0.4627 -0.2630 0.032 0.030 2.891
3.78 3.3 22.1 -32.1 -0.17 -0.11 -0.80 37.428006 -122.174270 34.0 2.0247 0.6713 -0.5113 0.051 0.093 2.877
3.82 3.3 22.1 -32.1 -0.05 -0.35 -0.97 37.428006 -122.174270 34.0 1.8691 0.4552 -0.6951 0.068 0.145 2.857
3.85 2.5 18.0 -34.4 0.05 -0.21 -0.78 37.428006 -122.174270 34.0 1.2811 -0.2519 -0.6172 0.101 0.230 2.812
3.88 2.5 18.0 -34.4 -0.03 -0.27 -0.79 37.428006 -122.174270 34.0 0.5293 -0.4527 -0.4922 0.098 0.249 2.793
3.91 2.7 13.6 -35.5 0.16 -0.31 -0.80 37.428006 -122.174270 34.0 1.1087 0.7390 -0.4843 0.105 0.272 2.776
3.94 2.7 13.6 -35.5 0.06 -0.42 -0.76 37.428006 -122.174270 34.0 1.0079 0.4630 0.1295 0.126 0.303 2.769
3.97 3.0 12.2 -35.5 0.13 -0.33 -0.93 37.428006 -122.174270 34.0 0.3065 0.3688 0.2743 0.135 0.321 2.773
4.00 3.0 12.2 -35.5 0.07 -0.32 -0.81 37.428006 -122.174270 34.0 -0.1224 0.6547 0.2131 0.151 0.323 2.785
4.03 4.2 10.3 -35.7 0.07 -0.32 -0.81 37.428006 -122.174270 34.0 -0.1095 0.2999 -0.1304 0.161 0.321 2.786
4.07 4.2 10.3 -35.7 0.18 -0.31 -0.83 37.428006 -122.174270 34.0 -0.4060 0.2764 -0.1871 0.177 0.310 2.780
4.10 5.2 10.3 -36.1 0.13 -0.28 -1.05 37.428006 -122.174270 34.0 0.3606 -0.4867 0.2472 0.149 0.300 2.790
4.13 5.2 10.3 -36.1 0.13 -0.29 -0.89 37.428006 -122.174270 34.0 0.5974 -0.2250 0.0719 0.143 0.321 2.790
4.16 5.1 10.9 -36.6 0.16 -0.34 -0.91 37.428006 -122.174270 34.0 0.4130 -0.0973 0.0900 0.137 0.336 2.792
4.19 5.1 10.9 -36.6 0.09 -0.31 -0.86 37.428006 -122.174270 34.0 0.2526 0.2572 0.0708 0.138 0.348 2.793
4.22 4.6 10.1 -37.2 0.19 -0.42 -0.89 37.428006 -122.174270 34.0 0.0470 0.1614 -0.0849 0.160 0.364 2.789
4.25 4.6 10.1 -37.2 0.18 -0.36 -0.98 37.428006 -122.174270 34.0 -0.0243 0.1240 0.0448 0.159 0.358 2.789
4.28 5.4 8.9 -37.2 0.14 -0.33 -0.97 37.428006 -122.174270 34.0 0.1736 0.8285 0.1248 0.173 0.360 2.792
4.31 5.4 8.9 -37.2 0.14 -0.39 -0.85 37.428006 -122.174270 34.0 0.1802 0.8047 0.1598 0.198 0.367 2.794
4.35 6.2 8.6 -36.7 0.13 -0.34 -0.87 37.428006 -122.174270 34.0 0.1945 -0.0656 -0.0761 0.204 0.373 2.797
4.38 6.2 8.6 -36.7 0.22 -0.38 -0.86 37.428006 -122.174270 34.0 0.0557 0.8476 -0.3460 0.226 0.378 2.785
4.41 7.8 8.9 -36.6 0.26 -0.41 -0.84 37.428006 -122.174270 34.0 -0.1589 1.1243 -0.3720 0.260 0.374 2.775
4.44 7.8 8.9 -36.6 0.30 -0.33 -0.81 37.428006 -122.174270 34.0 -0.2198 0.7383 -0.3890 0.289 0.366 2.765
4.47 9.0 9.0 -36.6 0.34 -0.37 -0.95 37.428006 -122.174270 34.0 -0.4069 0.6273 -0.2337 0.312 0.351 2.759
4.50 9.0 9.0 -36.6 0.35 -0.34 -0.95 37.428006 -122.174270 34.0 -0.0732 0.8206 -0.2296 0.335 0.343 2.755
4.53 10.6 8.5 -35.6 0.37 -0.35 -0.90 37.428006 -122.174270 34.0 0.1440 0.7827 -0.1462 0.359 0.343 2.749
4.56 10.6 8.5 -35.6 0.38 -0.35 -0.86 37.428006 -122.174270 34.0 0.2617 0.5914 -0.1101 0.380 0.348 2.743
4.60 12.0 8.7 -34.7 0.51 -0.41 -0.63 37.428006 -122.174270 34.0 0.3491 0.6672 -0.1224 0.409 0.358 2.733
